team,season,games,points_allowed,def_sacks,def_interceptions,def_fumbles_forced,def_tds,def_safeties,def_pass_defended,def_tackles_for_loss,source
ARI,1999,16,382,33,17,23,3,0,58,41,nflverse
ATL,1999,16,380,39,12,9,1,1,72,60,nflverse
BAL,1999,15,277,46,19,13,4,1,98,70,nflverse
BUF,1999,16,229,37,12,10,0,0,73,45,nflverse
CAR,1999,16,381,35,15,17,0,0,104,60,nflverse
CHI,1999,16,341,37,14,22,1,0,68,46,nflverse
CIN,1999,16,460,35,12,17,1,0,80,59,nflverse
CLE,1999,16,437,25,8,13,0,0,66,55,nflverse
DAL,1999,16,276,35,24,14,4,1,78,56,nflverse
DEN,1999,16,318,50,15,21,1,2,72,72,nflverse
DET,1999,16,323,49,16,25,1,1,88,67,nflverse
GB,1999,16,341,30,26,19,1,1,76,40,nflverse
IND,1999,16,333,41,10,18,1,0,92,60,nflverse
JAX,1999,16,217,57,19,23,3,3,79,74,nflverse
KC,1999,16,322,40,25,19,5,0,94,63,nflverse
MIA,1999,16,336,39,18,13,1,1,77,70,nflverse
MIN,1999,16,335,46,12,21,1,1,58,58,nflverse
NE,1999,16,284,42,16,17,2,0,54,72,nflverse
NO,1999,16,434,45,19,19,0,0,102,60,nflverse
NYG,1999,16,358,32,17,14,2,0,72,56,nflverse
NYJ,1999,16,309,26,24,18,3,1,70,39,nflverse
OAK,1999,16,329,44,20,17,0,0,99,66,nflverse
PHI,1999,16,357,37,28,31,5,2,116,68,nflverse
PIT,1999,16,320,39,14,16,0,0,85,61,nflverse
SD,1999,16,316,41,15,16,0,1,82,82,nflverse
SEA,1999,16,298,37,30,10,3,0,103,68,nflverse
SF,1999,16,453,32,13,8,2,1,85,80,nflverse
STL,1999,15,242,52,27,13,0,1,94,63,nflverse
TB,1999,16,235,43,21,18,2,1,106,53,nflverse
TEN,1999,16,324,54,16,27,1,4,83,69,nflverse
WAS,1999,16,377,40,24,18,3,0,96,45,nflverse
ARI,2000,16,443,25,10,13,0,0,49,68,nflverse
ATL,2000,16,413,30,15,13,1,1,70,55,nflverse
BAL,2000,16,165,35,23,26,1,1,92,69,nflverse
BUF,2000,15,350,41,15,17,1,0,60,54,nflverse
CAR,2000,16,310,27,17,22,2,0,69,66,nflverse
CHI,2000,16,355,36,11,14,4,0,75,63,nflverse
CIN,2000,16,359,26,9,16,1,1,78,59,nflverse
CLE,2000,16,419,42,12,18,1,0,76,69,nflverse
DAL,2000,16,361,25,16,15,0,1,65,70,nflverse
DEN,2000,16,369,44,27,23,5,1,94,80,nflverse
DET,2000,16,307,28,25,24,2,0,96,51,nflverse
GB,2000,16,323,37,21,7,1,1,92,60,nflverse
IND,2000,16,326,42,14,10,2,2,64,61,nflverse
JAX,2000,16,327,40,12,17,0,0,74,71,nflverse
KC,2000,15,354,45,14,9,2,0,54,91,nflverse
MIA,2000,15,226,42,27,19,0,0,90,70,nflverse
MIN,2000,16,371,31,8,10,0,0,55,72,nflverse
NE,2000,16,338,29,10,18,0,0,68,45,nflverse
NO,2000,16,305,66,20,17,4,0,73,76,nflverse
NYG,2000,16,246,43,20,7,0,0,92,74,nflverse
NYJ,2000,16,321,40,21,16,1,0,87,62,nflverse
OAK,2000,16,299,43,21,20,0,2,92,85,nflverse
PHI,2000,16,245,50,19,17,2,0,102,88,nflverse
PIT,2000,16,255,39,17,18,0,1,85,68,nflverse
SD,2000,15,440,37,15,7,0,1,73,88,nflverse
SEA,2000,16,405,27,17,17,3,1,71,43,nflverse
SF,2000,16,422,38,13,15,2,0,84,66,nflverse
STL,2000,16,471,51,19,11,0,0,73,77,nflverse
TB,2000,16,269,55,25,13,4,1,93,75,nflverse
TEN,2000,16,191,55,17,26,4,0,89,89,nflverse
WAS,2000,16,269,45,17,15,0,1,68,78,nflverse
ARI,2001,16,343,19,17,11,3,0,73,49,nflverse
ATL,2001,16,377,37,18,15,0,0,72,69,nflverse
BAL,2001,16,265,47,17,23,5,0,99,84,nflverse
BUF,2001,16,420,36,11,17,5,0,65,76,nflverse
CAR,2001,16,410,26,24,15,1,0,81,68,nflverse
CHI,2001,16,203,48,20,24,3,1,100,79,nflverse
CIN,2001,16,309,52,14,16,7,1,79,99,nflverse
CLE,2001,16,319,46,34,21,6,1,133,83,nflverse
DAL,2001,16,338,24,9,17,3,0,70,58,nflverse
DEN,2001,16,339,39,22,15,1,0,87,82,nflverse
DET,2001,16,424,31,16,9,3,0,72,68,nflverse
GB,2001,16,266,53,20,22,4,1,107,68,nflverse
IND,2001,16,486,40,15,11,1,0,67,58,nflverse
JAC,2001,8,286,22,5,5,0,0,28,47,nflverse
KC,2001,16,344,33,15,21,5,2,62,74,nflverse
MIA,2001,16,290,37,17,19,5,0,85,57,nflverse
MIN,2001,16,390,30,8,15,1,0,70,74,nflverse
NE,2001,16,272,41,22,14,5,0,87,59,nflverse
NO,2001,16,409,53,15,20,0,1,64,74,nflverse
NYG,2001,16,321,46,15,15,1,0,84,82,nflverse
NYJ,2001,16,295,33,20,21,2,0,78,55,nflverse
OAK,2001,16,327,41,17,10,0,0,80,66,nflverse
PHI,2001,16,208,45,14,27,2,0,108,89,nflverse
PIT,2001,16,212,58,18,20,8,0,99,106,nflverse
SD,2001,16,321,41,19,16,0,0,74,70,nflverse
SEA,2001,16,324,38,14,24,2,1,78,54,nflverse
SF,2001,16,282,32,24,20,2,0,82,60,nflverse
STL,2001,16,273,45,21,16,0,0,81,80,nflverse
TB,2001,16,280,42,28,15,2,0,100,71,nflverse
TEN,2001,16,388,36,13,14,1,1,88,84,nflverse
WAS,2001,16,303,25,23,19,1,1,80,59,nflverse
ARI,2002,16,417,21,17,7,2,0,67,54,nflverse
ATL,2002,16,314,47,24,20,1,0,80,66,nflverse
BAL,2002,16,354,33,25,13,2,0,105,72,nflverse
BUF,2002,16,397,31,10,10,1,0,64,43,nflverse
CAR,2002,16,302,52,17,23,1,1,107,81,nflverse
CHI,2002,16,379,35,9,22,0,0,65,72,nflverse
CIN,2002,16,456,24,9,13,2,0,53,60,nflverse
CLE,2002,16,320,31,19,20,3,0,83,62,nflverse
DAL,2002,16,329,24,19,16,3,0,77,64,nflverse
DEN,2002,16,344,40,9,14,2,1,64,69,nflverse
DET,2002,16,451,33,10,19,1,0,96,61,nflverse
GB,2002,16,328,43,24,24,4,0,95,52,nflverse
HOU,2002,16,356,39,10,11,5,4,112,73,nflverse
IND,2002,16,313,37,10,26,6,0,76,63,nflverse
JAC,2002,8,315,17,6,8,0,1,42,31,nflverse
KC,2002,16,399,34,18,14,0,0,73,61,nflverse
MIA,2002,16,301,47,21,15,1,0,78,60,nflverse
