player_name,position,team,season,games,fg_made,fg_att,fg_pct,fg_long,pat_made,pat_att,source
Morten Andersen,K,ATL,1999,16,15,21,0.714285714285714,49,34,34,nflverse
Gary Anderson,K,MIN,1999,16,19,30,0.633333333333333,44,46,46,nflverse
Cary Blanchard,K,NYG,1999,10,18,21,0.857142857142857,48,19,19,nflverse
Chris Boniol,K,CHI,1999,10,11,18,0.611111111111111,46,17,18,nflverse
Doug Brien,K,NO,1999,16,24,29,0.827586206896552,52,20,21,nflverse
Kris Brown,K,PIT,1999,16,25,29,0.862068965517241,51,30,31,nflverse
John Carney,K,SD,1999,16,31,36,0.861111111111111,50,22,23,nflverse
Steve Christie,K,BUF,1999,16,25,34,0.735294117647059,52,33,33,nflverse
Brett Conway,K,WAS,1999,16,22,32,0.6875,51,49,50,nflverse
Richie Cunningham,K,CAR,1999,14,15,24,0.625,47,36,37,nflverse
Phil Dawson,K,CLE,1999,15,8,12,0.666666666666667,49,23,24,nflverse
Al Del Greco,K,TEN,1999,16,21,25,0.84,50,43,43,nflverse
Jason Elam,K,DEN,1999,16,29,36,0.805555555555556,55,29,29,nflverse
Martin Gramatica,K,TB,1999,16,27,32,0.84375,53,24,24,nflverse
John Hall,K,NYJ,1999,16,27,33,0.818181818181818,48,27,29,nflverse
Jason Hanson,K,DET,1999,16,26,32,0.8125,52,28,29,nflverse
Mike Hollis,K,JAX,1999,16,31,38,0.81578947368421,50,37,37,nflverse
Michael Husted,K,OAK,1999,13,20,31,0.645161290322581,49,30,30,nflverse
Chris Jacke,K,ARI,1999,16,19,27,0.703703703703704,49,26,26,nflverse
Norm Johnson,K,PHI,1999,15,18,26,0.692307692307692,49,21,21,nflverse
John Kasay,K,CAR,1999,13,22,25,0.88,52,33,33,nflverse
Ryan Longwell,K,GB,1999,16,25,30,0.833333333333333,50,38,38,nflverse
Olindo Mare,K,MIA,1999,16,39,46,0.847826086956522,54,27,27,nflverse
Doug Pelfrey,K,CIN,1999,16,18,27,0.666666666666667,50,27,27,nflverse
Todd Peterson,K,SEA,1999,16,34,40,0.85,51,32,32,nflverse
Wade Richey,K,SF,1999,16,21,23,0.91304347826087,52,30,31,nflverse
Matt Stover,K,BAL,1999,15,27,30,0.9,50,31,31,nflverse
Pete Stoyanovich,K,KC,1999,16,21,28,0.75,51,45,45,nflverse
Mike Vanderjagt,K,IND,1999,16,34,38,0.894736842105263,53,43,43,nflverse
Adam Vinatieri,K,NE,1999,16,26,33,0.787878787878788,51,29,30,nflverse
