player_name,position,position_group,team,season,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,def_sacks,def_interceptions,def_tackles_solo,def_tackles_with_assist,def_pass_defended,def_tds,source
Sammy Baugh,QB,QB,WAS,1947,12,2938,25,15,0,0,0,0,0,0,0,0,0,0,0,0,legends
Johnny Unitas,QB,QB,BAL,1959,12,2899,32,14,0,0,0,0,0,0,0,0,0,0,0,0,legends
Bart Starr,QB,QB,GB,1966,14,2257,14,3,0,0,0,0,0,0,0,0,0,0,0,0,legends
Joe Namath,QB,QB,NYJ,1967,14,4007,26,28,0,0,0,0,0,0,0,0,0,0,0,0,legends
Roger Staubach,QB,QB,DAL,1971,13,1882,15,4,0,0,0,0,0,0,0,0,0,0,0,0,legends
Terry Bradshaw,QB,QB,PIT,1978,14,2915,28,20,0,0,0,0,0,0,0,0,0,0,0,0,legends
Dan Marino,QB,QB,MIA,1984,16,5084,48,17,0,0,0,0,0,0,0,0,0,0,0,0,legends
Joe Montana,QB,QB,SF,1989,13,3521,26,8,0,0,0,0,0,0,0,0,0,0,0,0,legends
John Elway,QB,QB,DEN,1993,16,4030,25,10,0,0,0,0,0,0,0,0,0,0,0,0,legends
Steve Young,QB,QB,SF,1994,16,3969,35,10,0,0,0,0,0,0,0,0,0,0,0,0,legends
Brett Favre,QB,QB,GB,1995,16,4413,38,13,0,0,0,0,0,0,0,0,0,0,0,0,legends
Troy Aikman,QB,QB,DAL,1992,16,3445,23,14,0,0,0,0,0,0,0,0,0,0,0,0,legends
Jim Brown,RB,RB,CLE,1963,14,0,0,0,291,1863,12,24,268,0,0,0,0,0,0,0,legends
Gale Sayers,RB,RB,CHI,1965,14,0,0,0,166,867,14,29,507,6,0,0,0,0,0,0,legends
O.J. Simpson,RB,RB,BUF,1973,14,0,0,0,332,2003,12,6,70,0,0,0,0,0,0,0,legends
Walter Payton,RB,RB,CHI,1977,14,0,0,0,339,1852,14,27,269,2,0,0,0,0,0,0,legends
Earl Campbell,RB,RB,HOU,1980,15,0,0,0,373,1934,13,11,47,0,0,0,0,0,0,0,legends
Eric Dickerson,RB,RB,LA,1984,16,0,0,0,379,2105,14,21,139,0,0,0,0,0,0,0,legends
Marcus Allen,RB,RB,LA,1985,16,0,0,0,380,1759,11,67,555,3,0,0,0,0,0,0,legends
Barry Sanders,RB,RB,DET,1997,16,0,0,0,335,2053,11,33,305,3,0,0,0,0,0,0,legends
Emmitt Smith,RB,RB,DAL,1995,16,0,0,0,377,1773,25,62,375,0,0,0,0,0,0,0,legends
Tony Dorsett,RB,RB,DAL,1981,16,0,0,0,342,1646,4,32,325,2,0,0,0,0,0,0,legends
Don Hutson,WR,WR,GB,1942,11,0,0,0,0,0,0,74,1211,17,0,0,0,0,0,0,legends
Lance Alworth,WR,WR,SD,1965,14,0,0,0,0,0,0,69,1602,14,0,0,0,0,0,0,legends
Steve Largent,WR,WR,SEA,1985,16,0,0,0,0,0,0,79,1287,6,0,0,0,0,0,0,legends
Jerry Rice,WR,WR,SF,1995,16,0,0,0,0,0,0,122,1848,15,0,0,0,0,0,0,legends
Michael Irvin,WR,WR,DAL,1991,16,0,0,0,0,0,0,93,1523,8,0,0,0,0,0,0,legends
Cris Carter,WR,WR,MIN,1995,16,0,0,0,0,0,0,122,1371,17,0,0,0,0,0,0,legends
Randy Moss,WR,WR,MIN,1998,16,0,0,0,0,0,0,69,1313,17,0,0,0,0,0,0,legends
Mike Ditka,TE,TE,CHI,1961,14,0,0,0,0,0,0,56,1076,12,0,0,0,0,0,0,legends
John Mackey,TE,TE,BAL,1966,14,0,0,0,0,0,0,50,829,9,0,0,0,0,0,0,legends
Kellen Winslow,TE,TE,SD,1980,16,0,0,0,0,0,0,89,1290,9,0,0,0,0,0,0,legends
Ozzie Newsome,TE,TE,CLE,1984,16,0,0,0,0,0,0,89,1001,5,0,0,0,0,0,0,legends
Shannon Sharpe,TE,TE,DEN,1997,16,0,0,0,0,0,0,72,1107,3,0,0,0,0,0,0,legends
